Dia,Turno,Horário,Curso,PPC,Período,Código,Disciplina,CH,Professor
Segunda,T,1,CCO,0,7,COM213,Interação Humano-Computador,4,Prof 6
Segunda,T,2,CCO,0,7,COM213,Interação Humano-Computador,4,Prof 6
Segunda,T,3,CCO,0,7,COM213,Interação Humano-Computador,4,Prof 6
Segunda,T,4,CCO,0,7,COM213,Interação Humano-Computador,4,Prof 6
Segunda,M,1,SIN,2022,1,SAHC04,Projeto Integrado,2,Prof 6
Segunda,M,2,SIN,2022,1,SAHC04,Projeto Integrado,2,Prof 6
Segunda,N,1,SIN,2017,7,COM213,Interação Humano-Computador,4,Prof 6
Segunda,N,2,SIN,2017,7,COM213,Interação Humano-Computador,4,Prof 6
Segunda,N,3,SIN,2017,7,COM213,Interação Humano-Computador,4,Prof 6
Segunda,N,4,SIN,2017,7,COM213,Interação Humano-Computador,4,Prof 6
Segunda,M,3,Pós Graduação,0,5,POS5,Robótica,4,Prof 6
Segunda,M,4,Pós Graduação,0,5,POS5,Robótica,4,Prof 6
Terça,M,1,Pós Graduação,0,5,POS5,Robótica,4,Prof 6
Terça,M,2,Pós Graduação,0,5,POS5,Robótica,4,Prof 6
