Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
CCO,5,CIC111,Análise e Projeto de Algoritmos II,2,14,T345
CCO,5,CIC132,Linguagens Formais e Autômatos,2,5,T12
CCO,5,CIC132,Linguagens Formais e Autômatos,3,5,T12
CCO,5,COM211,Engenharia de Software II,1,"8, 11",M45
CCO,5,COM211,Engenharia de Software II,3,"8, 11",T345
CCO,5,COM221,Computação Orientada a Objetos II,1,10,M123
CCO,5,COM221,Computação Orientada a Objetos II,2,10,M45
CCO,5,COM230,Banco de Dados I,3,12,M45
CCO,5,COM230,Banco de Dados I,1,12,T12
CCO,5,COM240,Redes de Computadores,2,4,M123
CCO,5,COM240,Redes de Computadores,3,4,M123
CCO,5,COM311,Análise de Investimento em Informática,1,2,T345
