Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
CCO,3,XDES02,Programação Orientada a Objetos,2,9,T345
CCO,3,XDES02,Programação Orientada a Objetos,2,9,T12
CCO,3,XDES04,Engenharia de Software I,1,1,M45
CCO,3,XDES04,Engenharia de Software I,3,1,T345
CCO,3,CRSC02,Sistemas Operacionais,3,13,T12
CCO,3,CRSC02,Sistemas Operacionais,1,13,T12
CCO,3,CTCO02,Algoritmos e Estrutura de Dados II,1,18,M123
CCO,3,CTCO02,Algoritmos e Estrutura de Dados II,3,18,M123
CCO,3,XMAC02,Métodos Matemáticos para Análise de Dados,2,9,M123
CCO,3,XMAC02,Métodos Matemáticos para Análise de Dados,2,9,M45
CCO,3,CMAC03,Algoritmos em Grafos,3,16,M45
CCO,3,CMAC03,Algoritmos em Grafos,1,16,T345
